longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-115.62,33.04,17.00,1009.00,231.00,745.00,217.00,2.05,61200.00
-115.64,32.80,23.00,1228.00,235.00,569.00,235.00,3.17,125000.00
-115.69,32.79,18.00,1564.00,340.00,1161.00,343.00,2.18,55200.00
-115.72,32.75,16.00,348.00,99.00,123.00,54.00,2.09,87500.00
-115.73,33.36,19.00,749.00,238.00,476.00,169.00,1.77,50000.00
-115.73,33.35,23.00,1586.00,448.00,338.00,182.00,1.21,30000.00
-115.73,33.09,27.00,452.00,103.00,258.00,61.00,2.90,87500.00
-115.73,32.80,44.00,472.00,81.00,206.00,57.00,2.21,93800.00
-115.80,33.26,2.00,96.00,18.00,30.00,16.00,5.34,47500.00
-115.84,33.49,20.00,1660.00,379.00,637.00,250.00,2.03,68900.00
-115.85,34.20,34.00,3868.00,1257.00,890.00,423.00,1.36,41000.00
-115.88,32.93,15.00,208.00,49.00,51.00,20.00,4.02,32500.00
-115.90,33.34,19.00,1210.00,248.00,329.00,155.00,1.79,62800.00
-115.91,33.36,15.00,459.00,95.00,160.00,73.00,0.92,67500.00
-115.93,35.55,18.00,1321.00,272.00,754.00,226.00,3.40,67500.00
-115.94,33.38,5.00,186.00,43.00,41.00,21.00,2.70,58800.00
-115.95,33.28,12.00,99.00,25.00,37.00,17.00,1.90,53800.00
-115.96,33.30,27.00,322.00,81.00,112.00,57.00,1.13,54400.00
-115.98,33.32,8.00,240.00,46.00,63.00,24.00,1.47,53800.00
-115.99,33.40,15.00,1945.00,536.00,515.00,273.00,2.01,54300.00
-116.00,33.19,16.00,245.00,57.00,81.00,33.00,1.26,51300.00
-116.00,32.74,26.00,1134.00,280.00,329.00,158.00,1.43,43900.00
-116.01,33.51,24.00,2985.00,958.00,4042.00,905.00,1.73,66400.00
-116.01,33.41,20.00,1996.00,515.00,659.00,295.00,2.87,62800.00
-116.02,34.18,8.00,569.00,97.00,312.00,96.00,4.30,94500.00
-116.05,34.12,19.00,301.00,65.00,150.00,56.00,3.13,65600.00
-116.05,33.33,17.00,290.00,94.00,135.00,57.00,1.73,81300.00
-116.06,34.20,29.00,1202.00,290.00,383.00,156.00,1.34,66900.00
-116.06,34.15,15.00,10377.00,2331.00,4507.00,1807.00,2.25,66800.00
-116.08,33.86,16.00,381.00,89.00,182.00,75.00,2.43,76100.00
-116.09,34.15,13.00,9444.00,1997.00,4166.00,1482.00,2.61,65600.00
-116.11,33.64,20.00,1273.00,354.00,1548.00,355.00,2.09,84700.00
-116.12,33.53,17.00,2421.00,820.00,2971.00,685.00,1.65,100000.00
-116.14,34.22,32.00,3298.00,1228.00,763.00,360.00,1.88,47800.00
-116.15,34.14,18.00,3312.00,705.00,1251.00,512.00,3.01,82600.00
-116.15,33.69,22.00,197.00,54.00,331.00,70.00,2.93,112500.00
-116.15,33.64,10.00,1711.00,499.00,1896.00,443.00,1.66,65400.00
-116.16,33.68,12.00,1230.00,277.00,1334.00,260.00,2.27,61400.00
-116.17,33.67,18.00,3585.00,800.00,3873.00,788.00,2.57,65900.00
-116.17,33.66,22.00,639.00,203.00,664.00,153.00,1.93,47500.00
-116.17,33.53,13.00,1713.00,512.00,1978.00,442.00,2.13,58600.00
-116.18,33.69,17.00,89.00,19.00,79.00,21.00,2.38,155000.00
-116.18,33.67,25.00,2888.00,654.00,2940.00,660.00,2.21,66700.00
-116.19,33.67,16.00,1859.00,476.00,1994.00,477.00,1.73,67500.00
-116.20,33.70,26.00,2399.00,625.00,2654.00,535.00,2.30,60600.00
-116.20,33.63,23.00,1152.00,273.00,1077.00,235.00,2.50,96300.00
-116.20,32.64,28.00,1608.00,409.00,567.00,254.00,1.46,61800.00
-116.21,33.75,22.00,894.00,192.00,830.00,202.00,3.07,68200.00
-116.21,33.72,28.00,2488.00,714.00,2891.00,676.00,2.32,68900.00
-116.21,33.71,19.00,3114.00,787.00,3157.00,772.00,1.71,82200.00
-116.21,33.68,34.00,584.00,176.00,625.00,166.00,1.58,100000.00
-116.21,33.66,19.00,1596.00,295.00,1201.00,282.00,3.88,100900.00
-116.22,36.00,14.00,1372.00,386.00,436.00,213.00,1.15,32900.00
-116.22,34.21,23.00,1175.00,468.00,355.00,151.00,2.21,42500.00
-116.22,33.74,26.00,4120.00,858.00,2918.00,815.00,3.31,69400.00
-116.22,33.73,38.00,1695.00,352.00,1279.00,305.00,2.12,68500.00
-116.22,33.72,28.00,826.00,258.00,979.00,245.00,1.72,58800.00
-116.22,33.70,9.00,3861.00,849.00,825.00,401.00,3.28,124700.00
-116.23,33.73,29.00,1133.00,221.00,918.00,239.00,2.86,72100.00
-116.23,33.72,32.00,4981.00,1326.00,3779.00,1186.00,1.78,76900.00
-116.23,33.71,17.00,4874.00,1349.00,5032.00,1243.00,2.44,90000.00
-116.24,33.73,14.00,2774.00,566.00,1530.00,505.00,3.07,104100.00
-116.24,33.72,25.00,5236.00,1039.00,2725.00,935.00,3.78,93400.00
-116.24,33.71,10.00,9033.00,2224.00,5525.00,1845.00,2.76,95000.00
-116.25,33.81,24.00,880.00,187.00,507.00,169.00,3.46,67500.00
-116.25,33.75,33.00,278.00,91.00,375.00,81.00,2.03,50000.00
-116.25,33.69,5.00,1664.00,444.00,907.00,374.00,2.77,92900.00
-116.26,33.65,3.00,7437.00,1222.00,574.00,302.00,10.29,382400.00
-116.26,33.07,17.00,934.00,284.00,452.00,184.00,1.99,83700.00
-116.27,34.13,37.00,452.00,109.00,184.00,59.00,3.73,65800.00
-116.29,33.74,6.00,12991.00,2555.00,4571.00,1926.00,4.72,199300.00
-116.29,33.72,5.00,3584.00,760.00,1097.00,470.00,3.18,167400.00
-116.30,33.68,10.00,2387.00,481.00,863.00,304.00,2.89,137500.00
-116.31,34.13,20.00,2352.00,556.00,1217.00,481.00,1.61,55400.00
-116.31,33.67,15.00,2214.00,410.00,1152.00,350.00,2.92,93400.00
-116.31,33.67,11.00,4686.00,851.00,2466.00,731.00,3.33,91800.00
-116.31,33.66,7.00,4497.00,831.00,2248.00,713.00,3.64,98000.00
-116.32,34.14,18.00,1880.00,487.00,994.00,425.00,1.69,54200.00
-116.32,34.10,10.00,4256.00,861.00,1403.00,686.00,2.66,81000.00
-116.32,33.28,19.00,1791.00,367.00,327.00,185.00,3.36,100000.00
-116.33,34.15,13.00,1808.00,411.00,735.00,320.00,1.55,57400.00
-116.33,33.75,5.00,19107.00,3923.00,2880.00,1376.00,4.04,158500.00
-116.33,33.72,11.00,12327.00,2000.00,2450.00,1139.00,7.44,353100.00
-116.34,33.36,24.00,2746.00,514.00,731.00,295.00,3.32,176400.00
-116.35,34.13,9.00,1969.00,406.00,805.00,349.00,1.55,62300.00
-116.35,32.74,16.00,2595.00,606.00,1046.00,367.00,1.71,110700.00
-116.36,33.88,11.00,12557.00,3098.00,2453.00,1232.00,1.78,78500.00
-116.37,33.72,17.00,8626.00,1859.00,3497.00,1337.00,3.31,121300.00
-116.37,33.69,7.00,8806.00,1542.00,858.00,448.00,7.80,318100.00
-116.37,33.19,12.00,4890.00,1152.00,1289.00,570.00,2.58,98700.00
-116.38,34.20,14.00,4985.00,1238.00,2517.00,954.00,2.07,65000.00
-116.38,34.10,6.00,2104.00,348.00,841.00,320.00,4.15,116300.00
-116.38,33.74,7.00,17579.00,3479.00,3581.00,1820.00,4.08,194500.00
-116.38,33.73,10.00,11836.00,2405.00,3811.00,1570.00,4.01,134500.00
-116.38,33.71,17.00,12509.00,2460.00,2737.00,1423.00,4.56,258100.00
-116.39,34.15,15.00,5583.00,1149.00,2709.00,964.00,1.98,73300.00
-116.39,33.82,15.00,11115.00,2257.00,4122.00,1653.00,2.72,74400.00
-116.39,33.72,19.00,7646.00,1618.00,2496.00,1075.00,3.56,128000.00
-116.39,33.69,10.00,11659.00,2007.00,2186.00,1083.00,6.98,238800.00
-116.40,34.12,16.00,5648.00,1089.00,2524.00,1008.00,2.67,78000.00
-116.40,34.09,9.00,4855.00,872.00,2098.00,765.00,3.27,97800.00
-116.40,33.78,8.00,3059.00,500.00,612.00,208.00,6.87,259200.00
-116.41,33.74,25.00,2475.00,476.00,910.00,387.00,3.36,168800.00
-116.41,33.74,17.00,4289.00,893.00,958.00,440.00,2.47,177800.00
-116.42,33.79,12.00,7095.00,1260.00,1179.00,570.00,4.94,285000.00
-116.42,33.76,14.00,16921.00,2837.00,2524.00,1262.00,7.63,341700.00
-116.42,33.68,15.00,3895.00,782.00,900.00,529.00,2.22,138300.00
-116.42,33.51,26.00,186.00,48.00,102.00,39.00,2.56,103100.00
-116.43,34.10,17.00,6683.00,1296.00,2677.00,1227.00,2.48,84000.00
-116.43,33.81,8.00,6710.00,1343.00,2069.00,781.00,3.52,115100.00
-116.43,33.75,24.00,2596.00,438.00,473.00,237.00,3.77,500001.00
-116.44,34.16,19.00,1867.00,361.00,758.00,321.00,2.89,98100.00
-116.44,34.12,18.00,5584.00,1303.00,2250.00,1158.00,1.58,72400.00
-116.44,33.93,17.00,5293.00,1266.00,1201.00,599.00,1.68,88400.00
-116.44,33.77,18.00,4872.00,1110.00,955.00,656.00,2.24,97500.00
-116.44,33.74,5.00,846.00,249.00,117.00,67.00,7.99,403300.00
-116.45,33.80,9.00,5534.00,1206.00,2283.00,1008.00,3.62,99100.00
-116.45,33.78,16.00,5228.00,992.00,1177.00,639.00,3.09,134600.00
-116.45,32.65,22.00,2680.00,643.00,1644.00,516.00,2.19,127100.00
-116.46,33.82,6.00,4863.00,920.00,3010.00,828.00,3.95,104200.00
-116.46,33.78,33.00,2565.00,745.00,2301.00,638.00,2.55,83000.00
-116.47,34.07,22.00,5473.00,1234.00,2581.00,1098.00,1.94,65300.00
-116.47,33.94,18.00,2233.00,471.00,919.00,388.00,3.26,85200.00
-116.47,33.84,3.00,9169.00,1512.00,3838.00,1270.00,4.31,142500.00
-116.47,33.81,7.00,10105.00,2481.00,6274.00,2095.00,2.45,90900.00
-116.47,33.78,27.00,1781.00,441.00,759.00,340.00,3.32,113600.00
-116.48,33.94,10.00,3254.00,913.00,923.00,486.00,1.80,81000.00
-116.48,33.79,14.00,9425.00,2020.00,1711.00,1000.00,2.63,145200.00
-116.48,33.61,8.00,1294.00,272.00,457.00,199.00,2.92,115300.00
-116.49,33.82,27.00,3316.00,636.00,2362.00,532.00,2.96,65900.00
-116.49,33.80,13.00,8789.00,1875.00,1274.00,688.00,3.74,148900.00
-116.50,33.98,5.00,4332.00,868.00,1420.00,567.00,4.04,146400.00
-116.50,33.95,10.00,7249.00,1882.00,4274.00,1621.00,1.70,66600.00
-116.50,33.82,16.00,343.00,85.00,29.00,14.00,2.10,87500.00
-116.50,33.81,26.00,5032.00,1229.00,3086.00,1183.00,2.54,94800.00
-116.50,33.69,20.00,4810.00,1074.00,1304.00,740.00,2.25,248100.00
-116.51,34.85,15.00,3149.00,713.00,1281.00,486.00,2.00,64700.00
-116.51,34.45,21.00,8502.00,2634.00,2330.00,991.00,1.38,51300.00
-116.51,33.96,16.00,4913.00,1395.00,2518.00,1132.00,1.47,61100.00
-116.51,33.94,12.00,3369.00,780.00,1315.00,584.00,1.74,66000.00
-116.51,33.89,21.00,1284.00,306.00,537.00,233.00,1.95,61000.00
-116.52,33.97,13.00,3921.00,754.00,1902.00,665.00,3.36,89600.00
-116.52,33.85,13.00,7559.00,1444.00,3189.00,1105.00,3.49,112500.00
-116.52,33.84,17.00,4465.00,859.00,853.00,445.00,3.69,130400.00
-116.52,33.82,21.00,10227.00,2315.00,3623.00,1734.00,2.52,145200.00
-116.52,32.90,18.00,4454.00,852.00,1754.00,656.00,4.57,189900.00
-116.53,33.95,18.00,2990.00,648.00,1280.00,532.00,2.63,68200.00
-116.53,33.88,5.00,4423.00,763.00,1906.00,667.00,4.69,125200.00
-116.53,33.85,16.00,10077.00,2186.00,3048.00,1337.00,2.96,110900.00
-116.53,33.84,28.00,8399.00,1839.00,3470.00,1340.00,2.59,159000.00
-116.53,33.78,18.00,2547.00,463.00,411.00,214.00,2.55,220500.00
-116.54,33.81,31.00,6814.00,1714.00,2628.00,1341.00,2.12,124100.00
-116.54,33.81,24.00,6087.00,1217.00,1721.00,833.00,3.15,199400.00
-116.54,33.80,22.00,6050.00,1387.00,1432.00,890.00,2.22,183900.00
-116.54,33.79,18.00,9374.00,1780.00,1678.00,919.00,3.97,235600.00
-116.55,33.84,28.00,2992.00,562.00,676.00,346.00,5.76,500001.00
-116.56,34.06,15.00,6928.00,1529.00,2568.00,1075.00,2.54,69600.00
-116.56,33.83,36.00,1765.00,399.00,451.00,264.00,2.61,321900.00
-116.56,33.05,15.00,1985.00,361.00,536.00,209.00,4.13,148200.00
-116.57,35.43,8.00,9975.00,1743.00,6835.00,1439.00,2.71,22500.00
-116.57,34.00,20.00,260.00,67.00,69.00,50.00,3.52,76600.00
-116.57,33.94,29.00,551.00,166.00,224.00,107.00,1.19,50000.00
-116.57,33.84,18.00,7962.00,1652.00,2009.00,921.00,3.39,230200.00
-116.57,33.64,10.00,489.00,82.00,183.00,74.00,6.27,345500.00
-116.58,32.69,19.00,4085.00,876.00,2133.00,718.00,2.92,116500.00
-116.60,33.49,16.00,3730.00,827.00,1346.00,592.00,2.18,113500.00
-116.60,33.06,23.00,1731.00,365.00,612.00,258.00,2.78,172900.00
-116.61,33.04,11.00,2522.00,538.00,616.00,269.00,3.88,198100.00
-116.62,34.23,14.00,6438.00,1719.00,1586.00,691.00,1.61,67400.00
-116.62,32.86,18.00,4115.00,847.00,2032.00,745.00,4.02,169100.00
-116.66,32.79,13.00,843.00,157.00,918.00,152.00,6.22,240600.00
-116.67,32.97,16.00,349.00,74.00,120.00,43.00,5.36,193800.00
-116.68,33.71,21.00,3460.00,711.00,658.00,255.00,3.59,161100.00
-116.68,33.16,26.00,1820.00,374.00,1001.00,324.00,2.18,156300.00
-116.71,33.94,12.00,549.00,109.00,209.00,90.00,3.02,66300.00
-116.72,34.89,14.00,4527.00,875.00,1640.00,590.00,2.86,81700.00
-116.72,33.56,13.00,3166.00,682.00,1250.00,475.00,2.36,122900.00
-116.74,33.62,11.00,2385.00,661.00,682.00,242.00,2.91,214300.00
-116.74,33.33,17.00,4190.00,946.00,1802.00,673.00,2.47,158200.00
-116.75,33.83,16.00,5277.00,1070.00,657.00,276.00,3.33,143400.00
-116.75,32.85,17.00,4863.00,845.00,2266.00,769.00,4.23,217400.00
-116.75,32.82,17.00,3348.00,481.00,1222.00,443.00,6.64,308600.00
-116.76,34.29,14.00,3959.00,849.00,1064.00,376.00,2.82,111400.00
-116.76,34.14,4.00,42.00,10.00,9.00,3.00,0.54,42500.00
-116.76,33.46,6.00,1251.00,268.00,544.00,216.00,3.07,173400.00
-116.76,32.84,16.00,3311.00,702.00,1627.00,624.00,3.12,187200.00
-116.76,32.74,14.00,4085.00,751.00,2129.00,688.00,4.74,214500.00
-116.77,33.92,19.00,2307.00,525.00,1266.00,437.00,1.69,63000.00
-116.78,33.00,7.00,12480.00,1946.00,5102.00,1697.00,5.51,221000.00
-116.79,33.99,16.00,319.00,68.00,212.00,67.00,1.47,90000.00
-116.79,32.84,12.00,4281.00,786.00,1891.00,721.00,3.58,231800.00
-116.79,32.61,19.00,2652.00,520.00,1421.00,491.00,3.52,206100.00
-116.80,33.80,35.00,324.00,63.00,158.00,39.00,3.42,100000.00
-116.80,32.80,11.00,3874.00,565.00,1672.00,546.00,6.15,274600.00
-116.82,34.24,11.00,5799.00,1527.00,713.00,262.00,2.51,84700.00
-116.83,34.25,15.00,8948.00,1985.00,1316.00,514.00,2.74,90800.00
-116.83,32.83,6.00,3123.00,495.00,1513.00,480.00,5.43,167800.00
-116.84,33.01,5.00,5673.00,855.00,2592.00,797.00,5.42,199200.00
-116.84,32.92,20.00,1066.00,219.00,536.00,173.00,3.16,119300.00
-116.84,32.86,16.00,2502.00,532.00,1211.00,494.00,3.25,202100.00
-116.85,34.98,26.00,3606.00,792.00,1683.00,608.00,2.66,57400.00
-116.85,34.25,5.00,5806.00,1030.00,569.00,219.00,4.01,163100.00
-116.85,32.83,17.00,4234.00,770.00,2191.00,725.00,3.64,197600.00
-116.86,34.23,13.00,4760.00,938.00,309.00,132.00,5.46,147800.00
-116.86,33.97,11.00,658.00,131.00,376.00,120.00,2.40,58000.00
-116.86,33.84,18.00,521.00,118.00,174.00,74.00,2.78,91100.00
-116.86,33.73,13.00,2604.00,443.00,978.00,417.00,2.93,170700.00
-116.86,33.05,17.00,9044.00,1689.00,5030.00,1596.00,3.63,164500.00
-116.86,33.02,17.00,401.00,68.00,251.00,69.00,4.65,170200.00
-116.86,32.87,17.00,5799.00,921.00,2630.00,843.00,5.05,285400.00
-116.86,32.80,19.00,1747.00,291.00,848.00,290.00,4.88,187200.00
-116.87,33.94,35.00,4448.00,906.00,2736.00,843.00,2.22,73400.00
-116.87,33.93,32.00,3141.00,812.00,2589.00,721.00,1.46,54600.00
-116.87,33.76,5.00,4116.00,761.00,1714.00,717.00,2.56,130800.00
-116.87,33.57,12.00,1153.00,265.00,446.00,195.00,3.04,128100.00
-116.87,32.75,15.00,2053.00,321.00,993.00,309.00,5.52,248900.00
-116.87,32.72,13.00,3268.00,491.00,1431.00,503.00,5.77,259900.00
-116.88,34.25,11.00,1089.00,198.00,230.00,90.00,4.96,176000.00
-116.88,34.24,13.00,4137.00,796.00,573.00,218.00,4.64,226500.00
-116.88,34.19,38.00,898.00,259.00,106.00,52.00,1.69,225000.00
-116.88,34.08,52.00,3419.00,777.00,710.00,265.00,3.90,128600.00
-116.88,33.93,37.00,1495.00,429.00,865.00,342.00,1.22,55000.00
-116.88,33.74,20.00,3111.00,623.00,1000.00,508.00,1.60,140000.00
-116.88,33.05,11.00,7217.00,1583.00,4197.00,1502.00,2.88,166700.00
-116.88,33.02,16.00,3204.00,541.00,1818.00,529.00,5.26,171500.00
-116.88,32.86,9.00,3049.00,471.00,1527.00,515.00,5.07,196600.00
-116.89,33.93,29.00,4549.00,916.00,2494.00,912.00,2.10,72600.00
-116.89,33.92,10.00,2653.00,621.00,1967.00,598.00,2.66,81000.00
-116.89,33.86,2.00,6900.00,1238.00,1950.00,980.00,3.04,146300.00
-116.89,33.75,23.00,2719.00,538.00,930.00,485.00,2.02,81700.00
-116.89,33.48,14.00,1016.00,219.00,443.00,169.00,2.81,137500.00
-116.89,32.99,14.00,2816.00,501.00,1448.00,452.00,5.03,210900.00
-116.89,32.85,16.00,1743.00,333.00,652.00,322.00,2.89,158300.00
-116.89,32.85,15.00,3560.00,593.00,1757.00,574.00,5.12,185300.00
-116.89,32.67,9.00,2652.00,393.00,1355.00,362.00,6.26,293100.00
-116.90,34.69,10.00,337.00,102.00,108.00,50.00,0.50,55000.00
-116.90,34.52,20.00,3481.00,840.00,1694.00,587.00,1.40,77700.00
-116.90,34.25,16.00,3018.00,523.00,556.00,244.00,3.53,189700.00
-116.90,33.98,30.00,3915.00,672.00,1820.00,643.00,3.63,98600.00
-116.90,33.93,34.00,3183.00,738.00,1820.00,647.00,2.23,71800.00
-116.90,33.74,14.00,2281.00,426.00,894.00,430.00,2.37,127900.00
-116.90,33.65,15.00,652.00,149.00,248.00,97.00,2.11,93800.00
-116.90,33.22,11.00,4132.00,773.00,2012.00,703.00,3.19,234500.00
-116.90,33.03,11.00,3213.00,634.00,1975.00,579.00,3.48,167200.00
-116.90,32.90,19.00,3090.00,552.00,1621.00,520.00,4.08,189200.00
